院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
1201,江南大学,05,不限,历史,601,2025,历史
1201,江南大学,06,不限,历史,600,2025,历史
1201,江南大学,08,思想政治,历史+思想政治,605,2025,历史
1203,无锡学院,01,不限,历史,558,2025,历史
1221,中国矿业大学,01,不限,历史,596,2025,历史
1222,江苏师范大学,03,不限,历史,562,2025,历史
1222,江苏师范大学,04,思想政治,历史+思想政治,577,2025,历史
1222,江苏师范大学,05,地理,历史+地理,572,2025,历史
1223,徐州医科大学,01,不限,历史,557,2025,历史
1224,徐州工程学院,01,不限,历史,537,2025,历史
1242,常州大学,01,不限,历史,563,2025,历史
1242,常州大学,02,思想政治,历史+思想政治,563,2025,历史
1243,常州工学院,01,不限,历史,551,2025,历史
1243,常州工学院,02,不限,历史,549,2025,历史
